ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome_name	start_position	end_position	description	external_gene_name
ENSG00000000003	207.618098726061	0.168307066406888	0.242274449275968	0.694695899257516	0.487245898482251	0.810615599279972	X	100627108	100639991	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	TSPAN6
ENSG00000000419	263.956028041087	0.014372164132148	0.123846670985073	0.116048045682877	0.907614464045262	0.973637913131157	20	50934852	50959140	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	DPM1
ENSG00000000457	57.828052238052	0.242713663719099	0.232894373570392	1.04216198956708	0.297336582430325	0.703254982228037	1	169846981	169894267	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	SCYL3
ENSG00000000460	10.4215037430813	0.649344480212774	0.458464227183935	1.4163471034617	0.156673903014666	0.600618114444046	1	169662007	169855456	FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]	FIRRM
ENSG00000001036	328.319669688576	-0.0636784656528605	0.171802028299422	-0.370650255315261	0.710898045663051	0.904096611489013	6	143493961	143511842	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	FUCA2
ENSG00000001084	1084.38265489713	-0.328477027198037	0.460079823270784	-0.713956601841045	0.47525401542483	0.804802691053506	6	53497341	53616970	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	GCLC
ENSG00000001167	343.738225809273	-0.0735887842399478	0.149455010491123	-0.4923808442295	0.622450138484592	0.86745659806144	6	41072946	41102403	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	NFYA
ENSG00000001460	198.334806773335	0.0994726702086982	0.150848753170718	0.659419903167004	0.50962616474692	0.818670724164489	1	24355886	24416934	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	STPG1
ENSG00000001461	680.294397946156	0.598847276875931	0.229994574409487	2.60374523361465	0.00922112725930612	0.236111471229711	1	24413527	24476735	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	NIPAL3
ENSG00000001497	218.806268025976	-0.107617484722791	0.168915049648359	-0.637110103255007	0.52405312804188	0.826311174977595	X	65438549	65534818	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	LAS1L
ENSG00000001617	2061.30814802437	-0.153238617235011	0.263442808356864	-0.581676980255358	0.560784279910338	0.841172387555748	3	50155012	50189075	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	SEMA3F
ENSG00000001629	518.039605011902	0.0306825813823127	0.18553331101831	0.165375054290303	0.868648787110206	0.963598746998309	7	92245973	92402070	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	ANKIB1
ENSG00000001630	43.0251629569304	0.63940196942859	0.321661165939831	1.98781213629063	0.0468324709942047	0.421892841540987	7	92084987	92134803	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	CYP51A1
ENSG00000001631	40.3438696924861	-0.155591610338803	0.267813128919943	-0.58097080963239	0.561260127104521	0.841508394319149	7	92197498	92246166	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	KRIT1
ENSG00000002016	47.5136243467881	-0.449498564541095	0.2764176720234	-1.62615711669492	0.103916236122698	0.543538935371225	12	910870	990053	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	RAD52
ENSG00000002330	200.130287093299	0.0494430663099219	0.149311767624525	0.331139782861969	0.740538902777008	0.916858963740042	11	64269828	64291946	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	BAD
ENSG00000002549	274.911199695749	-0.11549739283235	0.129402107201333	-0.89254646102981	0.372100101327066	0.753460877668127	4	17577198	17607975	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	LAP3
ENSG00000002587	88.8251651907149	0.37038150305384	0.285492950113257	1.29734027725346	0.194514131763938	0.630692215241544	4	11393150	11429564	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	HS3ST1
ENSG00000002822	2.27498843863139	0.204031294623682	0.911720035108832	0.223787222795128	0.822922872577708	NA	7	1815787	2233243	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	MAD1L1
ENSG00000002834	2708.17120665033	0.0227100439173693	0.132013044680964	0.172028786793402	0.863414897766529	0.962588319182878	17	38869185	38921771	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	LASP1
ENSG00000002919	252.044881473877	-0.223869594892208	0.180034917269261	-1.24347875560932	0.213691464740966	0.649824034559614	17	48103357	48123601	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	SNX11
ENSG00000003056	258.69856856606	0.181024640345805	0.158582000037437	1.14152072935813	0.253653290687935	0.6759025999943	12	8940358	8951856	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	M6PR
ENSG00000003096	30.7116592169151	0.395570713534903	0.305289023175327	1.29572530784288	0.19507013903685	0.631317134952721	X	117897794	118117340	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	KLHL13
ENSG00000003137	33.1847991335412	1.33480388938629	0.485320394625786	2.75035606203097	0.0059530538949746	0.202529128214632	2	72129238	72147862	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	CYP26B1
ENSG00000003147	25.5245128523633	0.279484232466206	0.267132735585301	1.04623730166893	0.295451484837208	0.702146018462191	7	8113181	8262687	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	ICA1
ENSG00000003249	203.378240898162	0.373520958932458	0.244865725578303	1.52541135779745	0.127156527619898	0.572279585999196	16	90004871	90019890	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	DBNDD1
ENSG00000003393	433.487005142454	0.588450578725146	0.239602145133498	2.45594870779342	0.0140513211410556	0.284118209012057	2	201700267	201782112	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	ALS2
ENSG00000003400	119.363495098938	-0.44510706665044	0.226049109909371	-1.96907241452486	0.0489447760598208	0.426158880786221	2	201182693	201229428	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	CASP10
ENSG00000003402	903.000048605277	0.503463350603862	0.459474827241312	1.09573652516865	0.273194093551302	0.689313702243086	2	201116154	201176687	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	CFLAR
ENSG00000003436	5.81748712193022	0.145209767231195	0.70565917895497	0.205778896614425	0.836963626473768	0.951531115641561	2	187463823	187565846	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	TFPI
ENSG00000003509	87.4110950245374	-0.0556528646977873	0.159203134207162	-0.349571413747229	0.72666036747273	0.912632437573548	2	37231631	37253403	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	NDUFAF7
ENSG00000003756	597.694682428067	-0.00389287015833452	0.0860323853885929	-0.0452488925042717	0.963908923550361	0.987746807148962	3	50088919	50119021	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	RBM5
ENSG00000003987	6.64920518192444	0.551159837631612	0.700276523470485	0.787060281415878	0.431246578818736	0.786386791600917	8	17296794	17413528	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	MTMR7
ENSG00000003989	20.5277840586642	1.52594545502711	0.756653609598986	2.01670280253581	0.0437265372999614	0.412284675086387	8	17496975	17570573	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	SLC7A2
ENSG00000004059	1596.63975292567	-0.204770184959313	0.1700006106656	-1.20452617292127	0.228386272233233	0.658684364740669	7	127588370	127591700	ARF GTPase 5 [Source:HGNC Symbol;Acc:HGNC:658]	ARF5
ENSG00000004139	18.0915207382055	-0.284099012138524	0.590374667296666	-0.481218161747044	0.630361454184059	0.870705884534241	17	28364356	28404049	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	SARM1
ENSG00000004142	1272.89386761915	-0.19991574007962	0.142439507420083	-1.4035132787284	0.160463835094161	0.605674974767524	17	28346173	28357584	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	POLDIP2
ENSG00000004399	11.1618732802468	0.417357043784785	0.39536536292344	1.05562369120737	0.291140172711897	0.699503584614299	3	129555213	129606681	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	PLXND1
ENSG00000004455	583.415537176745	-0.140428630537491	0.13274558767548	-1.05787795283105	0.290111087769566	0.699415103072364	1	33007986	33080996	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	AK2
